Category|Descript
WEAPON LAWS|POSS OF PROHIBITED WEAPON
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|CASE CLOSURE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
ROBBERY|ROBBERY, ARMED WITH A KNIFE
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, INJURED PERSON
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
ASSAULT|CHILD ABUSE (PHYSICAL)
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DISORDERLY CONDUCT|DISTURBING THE PEACE
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
DRUG/NARCOTIC|SALE OF MARIJUANA
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
ROBBERY|ROBBERY, ARMED WITH A GUN
SECONDARY CODES|DOMESTIC VIOLENCE
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
FRAUD|FALSE ID TO PEACE OFFICER
ASSAULT|BATTERY
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
OTHER OFFENSES|TAMPERING WITH A VEHICLE
WEAPON LAWS|AMMUNITION, POSS. BY PROHIBITED PERSON
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ROBBERY|ROBBERY, BODILY FORCE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
BURGLARY|BURGLARY,RESIDENCE UNDER CONSTRT, ATT. FORCIBLE
WEAPON LAWS|DISCHARGE FIREARM AT AN INHABITED DWELLING
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
OTHER OFFENSES|VIOLATION OF STAY AWAY ORDER
WARRANTS|WARRANT ARREST
DRUG/NARCOTIC|TRANSPORTAION OF CONTROLLED SUBSTANCE
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
DRUG/NARCOTIC|POSSESSION OF MARIJUANA FOR SALES
OTHER OFFENSES|TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE
ASSAULT|INFLICT INJURY ON COHABITEE
OTHER OFFENSES|OPERATING TAXI WITHOUT A PERMIT
SECONDARY CODES|PREJUDICE-BASED INCIDENT
ASSAULT|BATTERY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|RESISTING ARREST
NON-CRIMINAL|AIDED CASE -PROPERTY FOR DESTRUCTION
DISORDERLY CONDUCT|COMMITTING PUBLIC NUISANCE
VEHICLE THEFT|STOLEN MISCELLANEOUS VEHICLE
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
MISSING PERSON|FOUND PERSON
FRAUD|CREDIT CARD, THEFT BY USE OF
VEHICLE THEFT|STOLEN AUTOMOBILE
DRUG/NARCOTIC|SALE OF MARIJUANA
OTHER OFFENSES|VIOLATION OF FIRE CODE
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|AIDED CASE
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|THEFT OF CHECKS OR CREDIT CARDS
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|BATTERY OF A POLICE OFFICER
SUSPICIOUS OCC|SUSPICIOUS AUTO, POSSIBLY SEX
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|PETTY THEFT OF PROPERTY
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|PROBATION VIOLATION
ARSON|ARSON OF A VEHICLE
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM PERSON
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
DRUG/NARCOTIC|POSSESSION OF HEROIN
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
MISSING PERSON|MISSING JUVENILE
SECONDARY CODES|JUVENILE INVOLVED
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE
NON-CRIMINAL|CIVIL SIDEWALKS, WARNING
LARCENY/THEFT|PETTY THEFT OF PROPERTY
OTHER OFFENSES|FALSE EVIDENCE OF VEHICLE REGISTRATION
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
OTHER OFFENSES|TRAFFIC VIOLATION
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
NON-CRIMINAL|AIDED CASE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
BURGLARY|BURGLARY, UNLAWFUL ENTRY
NON-CRIMINAL|LOST PROPERTY
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
OTHER OFFENSES|CONSPIRACY
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
MISSING PERSON|FOUND PERSON
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
NON-CRIMINAL|CASE CLOSURE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|FOUND PROPERTY
BURGLARY|BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY
WEAPON LAWS|POSS OF LOADED FIREARM
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
ASSAULT|INFLICT INJURY ON COHABITEE
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
VEHICLE THEFT|STOLEN AUTOMOBILE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
DRUG/NARCOTIC|POSSESSION OF HEROIN
VEHICLE THEFT|STOLEN AND RECOVERED VEHICLE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
TRESPASS|TRESPASSING
TRESPASS|TRESPASSING
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT PICKPOCKET
ASSAULT|BATTERY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
TRESPASS|TRESPASSING
MISSING PERSON|MISSING JUVENILE
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|GRAND THEFT OF PROPERTY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
NON-CRIMINAL|FOUND PROPERTY
MISSING PERSON|MISSING JUVENILE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
FORGERY/COUNTERFEITING|CHECKS, FORGERY (FELONY)
OTHER OFFENSES|RESISTING ARREST
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
NON-CRIMINAL|AIDED CASE
ASSAULT|BATTERY
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
OTHER OFFENSES|TRAFFIC VIOLATION
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
BURGLARY|BURGLARY,RESIDENCE UNDER CONSTRT, UNLAWFUL ENTRY
VEHICLE THEFT|STOLEN AUTOMOBILE
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
MISSING PERSON|MISSING ADULT
LARCENY/THEFT|GRAND THEFT OF PROPERTY
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
DRUG/NARCOTIC|POSSESSION OF HEROIN
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
FRAUD|FALSE ID TO PEACE OFFICER
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
MISSING PERSON|FOUND PERSON
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
VANDALISM|MALICIOUS MISCHIEF, JUVENILE SUSPECT
SEX OFFENSES FORCIBLE|ORAL COPULATION, UNLAWFUL (ADULT VICTIM)
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
OTHER OFFENSES|PROBATION VIOLATION
FORGERY/COUNTERFEITING|COUNTERFEITING, COINS OR NOTES
OTHER OFFENSES|VIOLATION OF EMERGENCY PROTECTIVE ORDER
MISSING PERSON|MISSING ADULT
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
FRAUD|CREDIT CARD, THEFT BY USE OF
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|EVADING A POLICE OFFICER RECKLESSLY
OTHER OFFENSES|RESISTING ARREST
ASSAULT|BATTERY
ASSAULT|ASSAULT, AGGRAVATED, W/ GUN
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|FALSE PERSONATION
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
NON-CRIMINAL|LOST PROPERTY
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|GRAND THEFT SHOPLIFTING
WEAPON LAWS|EXHIBITING DEADLY WEAPON IN A THREATING MANNER
WARRANTS|WARRANT ARREST
LARCENY/THEFT|THEFT FROM MERCHANT OR LIBRARY
DRUG/NARCOTIC|POSSESSION OF AMPHETAMINE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
WARRANTS|WARRANT ARREST
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|THREATS AGAINST LIFE
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
FRAUD|CREDIT CARD, THEFT BY USE OF
ASSAULT|BATTERY
OTHER OFFENSES|RESISTING ARREST
NON-CRIMINAL|SHELTER
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
ASSAULT|THREATS AGAINST LIFE
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
OTHER OFFENSES|PROBATION VIOLATION
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|LOST PROPERTY, PETTY THEFT
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|MISCELLANEOUS STATE FELONY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF STORE, FORCIBLE ENTRY
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT OF PROPERTY
ASSAULT|BATTERY
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|LOST PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT OF PROPERTY
FRAUD|IMPERSONATING A POLICE OFFICER
EMBEZZLEMENT|EMBEZZLEMENT, GRAND THEFT
OTHER OFFENSES|PAROLE VIOLATION
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|GRAND THEFT FROM PERSON
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
NON-CRIMINAL|STAY AWAY OR COURT ORDER, NON-DV RELATED
WARRANTS|WARRANT ARREST
ROBBERY|ROBBERY ON THE STREET, STRONGARM
NON-CRIMINAL|FOUND PROPERTY
LARCENY/THEFT|GRAND THEFT PICKPOCKET
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT OF PROPERTY
NON-CRIMINAL|SEARCH WARRANT SERVICE
OTHER OFFENSES|PROBATION VIOLATION
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
TRESPASS|TRESPASSING
ASSAULT|BATTERY WITH SERIOUS INJURIES
ASSAULT|ASSAULT
LARCENY/THEFT|GRAND THEFT PICKPOCKET
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
OTHER OFFENSES|RESISTING ARREST
WEAPON LAWS|POSS OF LOADED FIREARM
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
FRAUD|FRAUDULENT USE OF AUTOMATED TELLER CARD
LARCENY/THEFT|GRAND THEFT FROM PERSON
NON-CRIMINAL|FOUND PROPERTY
ROBBERY|ROBBERY ON THE STREET, STRONGARM
LARCENY/THEFT|GRAND THEFT OF PROPERTY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE FOR SALE
OTHER OFFENSES|FALSE PERSONATION
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
VEHICLE THEFT|RECOVERED VEHICLE - STOLEN OUTSIDE SF
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
FORGERY/COUNTERFEITING|FORGERY, NOTES
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
FRAUD|CREDIT CARD, THEFT BY USE OF
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
DRUG/NARCOTIC|POSSESSION OF MARIJUANA FOR SALES
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT OF PROPERTY
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
WARRANTS|WARRANT ARREST
NON-CRIMINAL|FIRE REPORT
ASSAULT|INFLICT INJURY ON COHABITEE
NON-CRIMINAL|AIDED CASE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
VEHICLE THEFT|RECOVERED VEHICLE - STOLEN OUTSIDE SF
LARCENY/THEFT|GRAND THEFT BICYCLE
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|TRAFFIC VIOLATION
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
NON-CRIMINAL|FOUND PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ASSAULT|INFLICT INJURY ON COHABITEE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
TRESPASS|TRESPASSING
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
DRUG/NARCOTIC|POSSESSION OF COCAINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
OTHER OFFENSES|RESISTING ARREST
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
MISSING PERSON|MISSING JUVENILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT PICKPOCKET
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
LARCENY/THEFT|GRAND THEFT PICKPOCKET
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|TRAFFIC VIOLATION
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ROBBERY|ROBBERY ON THE STREET, STRONGARM
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
WARRANTS|WARRANT ARREST
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
NON-CRIMINAL|DEATH REPORT, NATURAL CAUSES
SEX OFFENSES FORCIBLE|CHILD ABUSE SEXUAL
NON-CRIMINAL|LOCATED PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
VEHICLE THEFT|STOLEN AUTOMOBILE
MISSING PERSON|FOUND PERSON
OTHER OFFENSES|PROBATION VIOLATION
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
ASSAULT|THREATS AGAINST LIFE
ASSAULT|BATTERY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
NON-CRIMINAL|LOST PROPERTY
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
OTHER OFFENSES|TRAFFIC VIOLATION
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
WARRANTS|WARRANT ARREST
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
SECONDARY CODES|DOMESTIC VIOLENCE
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF FLAT, FORCIBLE ENTRY
WARRANTS|WARRANT ARREST
ROBBERY|ROBBERY ON THE STREET, STRONGARM
OTHER OFFENSES|PROBATION VIOLATION
WARRANTS|WARRANT ARREST
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|PETTY THEFT WITH PRIOR
NON-CRIMINAL|COURTESY REPORT
OTHER OFFENSES|INTERFERRING WITH A POLICE OFFICER
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|BATTERY
FRAUD|CREDIT CARD, THEFT BY USE OF
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT PICKPOCKET
FRAUD|CREDIT CARD, THEFT BY USE OF
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
VEHICLE THEFT|STOLEN AUTOMOBILE
MISSING PERSON|MISSING JUVENILE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|WARRANT ARREST
ASSAULT|BATTERY
ASSAULT|THREATS AGAINST LIFE
OTHER OFFENSES|PAROLE VIOLATION
OTHER OFFENSES|MINOR PURCHASING OR RECEIVING TOBACCO PRODUCT
OTHER OFFENSES|PROBATION VIOLATION
ASSAULT|BATTERY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
NON-CRIMINAL|FOUND PROPERTY
NON-CRIMINAL|LOST PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
DISORDERLY CONDUCT|COMMITTING PUBLIC NUISANCE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|FOUND PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
OTHER OFFENSES|PROBATION VIOLATION
ROBBERY|ATTEMPTED ROBBERY WITH A DEADLY WEAPON
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
NON-CRIMINAL|AIDED CASE -PROPERTY FOR DESTRUCTION
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
FORGERY/COUNTERFEITING|CHECKS, FORGERY (FELONY)
ROBBERY|ROBBERY ON THE STREET, STRONGARM
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
FORGERY/COUNTERFEITING|COUNTERFEITING, COINS OR NOTES
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
MISSING PERSON|FOUND PERSON
ROBBERY|CARJACKING WITH A GUN
LARCENY/THEFT|ATTEMPTED PETTY THEFT OF PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
NON-CRIMINAL|FOUND PROPERTY
WEAPON LAWS|EXHIBITING DEADLY WEAPON IN A THREATING MANNER
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
WARRANTS|WARRANT ARREST
VEHICLE THEFT|STOLEN MOTORCYCLE
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|RESISTING ARREST
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
MISSING PERSON|MISSING JUVENILE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
NON-CRIMINAL|FIRE REPORT
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
WARRANTS|WARRANT ARREST
OTHER OFFENSES|TRAFFIC VIOLATION
OTHER OFFENSES|RESISTING ARREST
NON-CRIMINAL|LOST PROPERTY
ASSAULT|BATTERY
NON-CRIMINAL|CIVIL SIDEWALKS, WARNING
ROBBERY|ROBBERY, BODILY FORCE
VANDALISM|VANDALISM OR GRAFFITI TOOLS, POSSESSION
